timestamp,light_lux,sound_raw,temperature_c,humidity_percent,gas_raw,dust_ugm3,motion
2025-12-01T12:45:46.777082,900.0,,,,,,
2025-12-01T12:45:48.416926,900.0,4,23.9,41.0,67,28.3,1
2025-12-01T12:45:50.151731,900.0,11,23.9,41.0,67,28.3,1
2025-12-01T12:45:51.800582,900.0,4,23.9,41.0,67,28.3,1
2025-12-01T12:45:52.856383,900.0,10,23.9,41.0,66,28.3,1
2025-12-01T12:45:54.280971,900.0,5,23.9,40.0,70,28.3,1
2025-12-01T12:45:55.304569,900.0,12,23.9,40.0,66,28.3,0
2025-12-01T12:45:56.435401,900.0,5,23.9,40.0,67,28.3,0
2025-12-01T12:45:57.868917,900.0,10,23.9,40.0,70,28.3,0
2025-12-01T12:46:00.317507,900.0,4,23.9,40.0,66,28.3,0
2025-12-01T12:46:01.821260,900.0,16,23.9,39.0,66,28.3,0
2025-12-01T12:46:03.542581,900.0,3,24.0,39.0,66,28.3,0
2025-12-01T12:46:05.195371,900.0,4,23.9,39.0,65,28.3,0
2025-12-01T12:46:06.878666,900.0,2,23.9,39.0,66,28.3,0
2025-12-01T12:46:08.517331,900.0,2,23.9,39.0,65,0.6,0
2025-12-01T12:46:10.250105,900.0,4,23.9,39.0,65,0.6,1
2025-12-01T12:46:11.897843,900.0,4,23.9,39.0,64,0.6,1
2025-12-01T12:46:12.917415,900.0,11,23.9,39.0,65,0.6,0
2025-12-01T12:46:14.285227,900.0,9,23.9,39.0,69,0.6,0
2025-12-01T12:46:15.375678,900.0,4,23.9,39.0,65,0.6,0
2025-12-01T12:46:16.943230,900.0,7,23.9,39.0,67,0.6,0
2025-12-01T12:46:18.608872,900.0,5,23.9,39.0,65,0.6,1
2025-12-01T12:46:20.271286,900.0,5,24.0,39.0,68,0.6,1
2025-12-01T12:46:21.914171,900.0,16,23.9,39.0,66,0.6,1
2025-12-01T12:46:23.640390,900.0,2,24.0,39.0,66,0.6,1
2025-12-01T12:46:25.286612,900.0,9,24.0,39.0,67,0.6,1
2025-12-01T12:46:26.974275,900.0,3,24.0,39.0,66,0.6,1
2025-12-01T12:46:28.634677,900.0,3,24.0,39.0,66,0.6,1
2025-12-01T12:46:30.354962,900.0,4,24.0,39.0,68,0.6,1
